name,price,pic,description
Jaipur Dress,40 €,pic11.jpg,"Vestido largo con escote regulable en la espalda. La apertura de la espalda esta diseñada para poder ser regulada al gusto dels consumidor mediante un nudo.
Este vestido forma parte de una colaboración que hicimos hace dos años con mucho cariño con una pequeña escuela de Calcutta, India.
Todas las piezas han sido producidas a mano por mujeres en Calcutta, India, a partir de telas que buscamos y seleccionamos nosotras mismas durante el viaje."
Purple Kurta,30 €,pic12.jpg,"Vestido Kurta tradicional de la India. 100% rayón. Talla única.
Esta prenda está hecha y cosida mano artesanalmente. Esto puede conllevar que puedan haber pequeñas imperfecciones y que las tallas de los kurtas puedan variar.
Método de lavado: lavado a mano en agua fría y una pizca de sal para mantener el color."
Pink Kurta,30 €,pic13.jpg,"Vestido Kurta tradicional de la India. 100% rayón. Talla única.
Esta prenda está hecha y cosida mano artesanalmente. Esto puede conllevar que puedan haber pequeñas imperfecciones y que las tallas de los kurtas puedan variar.
Método de lavado: lavado a mano en agua fría y una pizca de sal para mantener el color."
Black Kurta,30 €,pic14.jpg,"Vestido Kurta tradicional de la India. 100% rayón. Talla única.
Esta prenda está hecha y cosida mano artesanalmente. Esto puede conllevar que puedan haber pequeñas imperfecciones y que las tallas de los kurtas puedan variar.
Método de lavado: lavado a mano en agua fría y una pizca de sal para mantener el color."
Green Kurta,30 €,pic15.jpg,"Vestido Kurta tradicional de la India. 100% rayón. Talla única.
Esta prenda está hecha y cosida mano artesanalmente. Esto puede conllevar que puedan haber pequeñas imperfecciones y que las tallas de los kurtas puedan variar.
Método de lavado: lavado a mano en agua fría y una pizca de sal para mantener el color."
