name,price,pic,description
Yellow Mexico,29 €,pic16.jpg,"Tote bag mexicana tejida a mano en Oaxaca.
Material: Algodón 100%.
Lavar a mano o lavar en ciclo suave o delicado por lavadora con agua fría. Secar plano. La bolsa no se desvanece."
Blue Mexico,29 €,pic17.jpg,"Tote bag mexicana tejida a mano en Oaxaca.
Material: Algodón 100%.
Lavar a mano o lavar en ciclo suave o delicado por lavadora con agua fría. Secar plano. La bolsa no se desvanece."
Pink Mexico,29 €,pic18.jpg,"Tote bag mexicana tejida a mano en Oaxaca.
Material: Algodón 100%.
Lavar a mano o lavar en ciclo suave o delicado por lavadora con agua fría. Secar plano. La bolsa no se desvanece."
